
Host: RishiLaptop

Timers On : Wed Oct 15 18:52:45 2025
Timers Off: Wed Oct 15 18:55:14 2025

Wall Time:      148.48 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
Wall Time:       64.34 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
DFH: sparsity prep                  :      0.000u      0.000s      0.068w      5 calls
Libint2ERI::Libint2ERI              :      0.000u      0.000s      0.178w     35 calls
DFH: initialize()                   :      0.000u      0.000s      0.532w      5 calls
DFH: AO Construction                :      0.000u      0.000s      0.206w      5 calls
DFH: AO-Met. Contraction            :      0.000u      0.000s      0.139w      5 calls
HF: Form core H                     :      0.000u      0.000s      0.017w      5 calls
HF: Form S/X                        :      0.000u      0.000s      0.005w      5 calls
HF: Guess                           :      0.000u      0.000s      0.047w      5 calls
SAD Guess                           :      0.000u      0.000s      0.046w      1 calls
HF: Form G                          :      0.000u      0.000s      0.348w     51 calls
JK: D                               :      0.000u      0.000s      0.001w     51 calls
JK: USO2AO                          :      0.000u      0.000s      0.000w     51 calls
JK: JK                              :      0.000u      0.000s      0.344w     51 calls
DFH: compute_JK()                   :      0.000u      0.000s      0.344w     51 calls
DFH: Grabbing AOs                   :      0.000u      0.000s      0.000w     51 calls
DFH: compute_J                      :      0.000u      0.000s      0.062w     51 calls
DFH: compute_K                      :      0.000u      0.000s      0.249w     51 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w     51 calls
HF: Form F                          :      0.000u      0.000s      0.001w     51 calls
HF: Form D                          :      0.000u      0.000s      0.000w     51 calls
HF: DIIS                            :      0.000u      0.000s      0.385w     50 calls
HF: Form C                          :      0.000u      0.000s      0.040w     50 calls
Grad: V T Perturb                   :      0.000u      0.000s      0.019w      5 calls
Grad: S                             :      0.000u      0.000s      0.002w      5 calls
Grad: JK                            :      0.000u      0.000s      1.308w      5 calls
JKGrad: Amn                         :      0.000u      0.000s      0.340w      5 calls
JKGrad: Awmn                        :      0.000u      0.000s      0.000w      5 calls
JKGrad: AB                          :      0.000u      0.000s      0.127w      5 calls
JKGrad: UV                          :      0.000u      0.000s      0.009w      5 calls
JKGrad: ABx                         :      0.000u      0.000s      0.041w      5 calls
JKGrad: Amnx                        :      0.000u      0.000s      0.765w      5 calls
Grad: XC                            :      0.000u      0.000s      0.000w      5 calls

--------------------------------------------------------------------------------------
DFH: sparsity prep                  :      0.000u      0.000s      0.068w      5 calls
| Libint2ERI::Libint2ERI            :      0.000u      0.000s      0.050w      5 calls
DFH: initialize()                   :      0.000u      0.000s      0.532w      5 calls
| Libint2ERI::Libint2ERI            :      0.000u      0.000s      0.042w     10 calls
| DFH: AO Construction              :      0.000u      0.000s      0.206w      5 calls
| DFH: AO-Met. Contraction          :      0.000u      0.000s      0.139w      5 calls
HF: Form core H                     :      0.000u      0.000s      0.017w      5 calls
HF: Form S/X                        :      0.000u      0.000s      0.005w      5 calls
HF: Guess                           :      0.000u      0.000s      0.047w      5 calls
| SAD Guess                         :      0.000u      0.000s      0.046w      1 calls
HF: Form G                          :      0.000u      0.000s      0.348w     51 calls
| JK: D                             :      0.000u      0.000s      0.001w     51 calls
| JK: USO2AO                        :      0.000u      0.000s      0.000w     51 calls
| JK: JK                            :      0.000u      0.000s      0.344w     51 calls
| | DFH: compute_JK()               :      0.000u      0.000s      0.344w     51 calls
| | | DFH: Grabbing AOs             :      0.000u      0.000s      0.000w     51 calls
| | | DFH: compute_J                :      0.000u      0.000s      0.062w     51 calls
| | | DFH: compute_K                :      0.000u      0.000s      0.249w     51 calls
| JK: AO2USO                        :      0.000u      0.000s      0.000w     51 calls
HF: Form F                          :      0.000u      0.000s      0.001w     51 calls
HF: Form D                          :      0.000u      0.000s      0.000w     51 calls
HF: DIIS                            :      0.000u      0.000s      0.385w     50 calls
HF: Form C                          :      0.000u      0.000s      0.040w     50 calls
Grad: V T Perturb                   :      0.000u      0.000s      0.019w      5 calls
Grad: S                             :      0.000u      0.000s      0.002w      5 calls
Grad: JK                            :      0.000u      0.000s      1.308w      5 calls
| JKGrad: Amn                       :      0.000u      0.000s      0.340w      5 calls
| | Libint2ERI::Libint2ERI          :      0.000u      0.000s      0.043w      5 calls
| JKGrad: Awmn                      :      0.000u      0.000s      0.000w      5 calls
| JKGrad: AB                        :      0.000u      0.000s      0.127w      5 calls
| | Libint2ERI::Libint2ERI          :      0.000u      0.000s      0.000w      5 calls
| JKGrad: UV                        :      0.000u      0.000s      0.009w      5 calls
| JKGrad: ABx                       :      0.000u      0.000s      0.041w      5 calls
| | Libint2ERI::Libint2ERI          :      0.000u      0.000s      0.000w      5 calls
| JKGrad: Amnx                      :      0.000u      0.000s      0.765w      5 calls
| | Libint2ERI::Libint2ERI          :      0.000u      0.000s      0.042w      5 calls
Grad: XC                            :      0.000u      0.000s      0.000w      5 calls

**************************************************************************************

Host: RishiLaptop

Timers On : Sun Nov  2 14:13:11 2025
Timers Off: Sun Nov  2 14:13:12 2025

Wall Time:        1.52 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
V: Grid                             :      0.000u      0.000s      0.023w      1 calls
build grid                          :      0.000u      0.000s      0.014w      1 calls
post-process grid                   :      0.000u      0.000s      0.009w      1 calls
Total PK formation time             :      0.000u      0.000s      0.006w      1 calls
Libint2ERI::Libint2ERI              :      0.000u      0.000s      0.004w      2 calls
HF: Form core H                     :      0.000u      0.000s      0.003w      1 calls
HF: Form S/X                        :      0.000u      0.000s      0.000w      1 calls
HF: Guess                           :      0.000u      0.000s      0.022w      1 calls
SAD Guess                           :      0.000u      0.000s      0.021w      1 calls
HF: Form G                          :      0.000u      0.000s      0.395w      7 calls
RV: Form V                          :      0.000u      0.000s      0.394w      7 calls
Properties                          :      0.000u      0.000s      0.058w   3836 calls
Functional                          :      0.000u      0.000s      0.285w   3836 calls
V_xc                                :      0.000u      0.000s      0.045w   3836 calls
JK: D                               :      0.000u      0.000s      0.000w      7 calls
JK: USO2AO                          :      0.000u      0.000s      0.000w      7 calls
JK: JK                              :      0.000u      0.000s      0.000w      7 calls
PK computes JK                      :      0.000u      0.000s      0.000w      7 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w      7 calls
HF: Form F                          :      0.000u      0.000s      0.000w      7 calls
HF: Form D                          :      0.000u      0.000s      0.000w      7 calls
HF: DIIS                            :      0.000u      0.000s      0.263w      6 calls
HF: Form C                          :      0.000u      0.000s      0.002w      6 calls

--------------------------------------------------------------------------------------
V: Grid                             :      0.000u      0.000s      0.023w      1 calls
| build grid                        :      0.000u      0.000s      0.014w      1 calls
| post-process grid                 :      0.000u      0.000s      0.009w      1 calls
Total PK formation time             :      0.000u      0.000s      0.006w      1 calls
| Libint2ERI::Libint2ERI            :      0.000u      0.000s      0.004w      2 calls
HF: Form core H                     :      0.000u      0.000s      0.003w      1 calls
HF: Form S/X                        :      0.000u      0.000s      0.000w      1 calls
HF: Guess                           :      0.000u      0.000s      0.022w      1 calls
| SAD Guess                         :      0.000u      0.000s      0.021w      1 calls
HF: Form G                          :      0.000u      0.000s      0.395w      7 calls
| RV: Form V                        :      0.000u      0.000s      0.394w      7 calls
| | Properties                      :      0.000u      0.000s      0.058w   3836 calls
| | Functional                      :      0.000u      0.000s      0.285w   3836 calls
| | V_xc                            :      0.000u      0.000s      0.045w   3836 calls
| JK: D                             :      0.000u      0.000s      0.000w      7 calls
| JK: USO2AO                        :      0.000u      0.000s      0.000w      7 calls
| JK: JK                            :      0.000u      0.000s      0.000w      7 calls
| | PK computes JK                  :      0.000u      0.000s      0.000w      7 calls
| JK: AO2USO                        :      0.000u      0.000s      0.000w      7 calls
HF: Form F                          :      0.000u      0.000s      0.000w      7 calls
HF: Form D                          :      0.000u      0.000s      0.000w      7 calls
HF: DIIS                            :      0.000u      0.000s      0.263w      6 calls
HF: Form C                          :      0.000u      0.000s      0.002w      6 calls

**************************************************************************************
